Type,Variable,Comment
X,space,Spatial distribution of sites
X,time,Could look across time at one site or across multiple sites
X,land cover type,"<a href =""https://www.neonscience.org/field-sites/exports/NEON_Field_Site_Metadata_20241107"" target=""_blank"">Field Site Metadata</a>"
X,air temperature,"<a href=""https://data.neonscience.org/data-products/DP1.20046.001"" target=""_blank"">DP1.20046.001</a> (above water surface); <a href=""https://data.neonscience.org/data-products/DP1.00002.001"" target=""_blank"">DP1.00002.001</a> (terrestrial); <a href=""https://data.neonscience.org/data-products/DP1.00003.001"" target=""_blank"">DP1.00003.001</a> (terrestrial); <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,[A] populations,
X,precipitation,"<a href=""https://data.neonscience.org/data-products/DP1.00006.001"" target=""_blank"">DP1.00006.001</a> (terrestrial); <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,[A]s,
X,habitat factors,
X,woody plant biomass,"<a href=""https://data.neonscience.org/data-products/DP1.10096.001"" target=""_blank"">DP1.10096.001</a>; <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>"
X,[B] [Y],
X,[Y],
X,"protocol characteristics (e.g., personnel involved, collection method, timing, equipment used)",
X,natural disasters,
X,fires,
X,floods,
X,hurricanes,
X,droughts,
X,the climate,
X,biogeochemical cycles,
X,water temperature,"<a href=""https://data.neonscience.org/data-products/DP1.20053.001"" target=""_blank"">DP1.20053.001</a> (water surface); <a href=""https://data.neonscience.org/data-products/DP1.20264.001"" target=""_blank"">DP1.20264.001</a> (below water surface); <a href=""https://www.neonscience.org/data-collection/surface-water"" target=""_blank"">Read More: Surface Water</a>"
X,surface water level,"<a href=""https://data.neonscience.org/data-products/DP1.20016.001"" target=""_blank"">DP1.20016.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20267.001"" target=""_blank"">DP1.20267.001</a>; <a href=""https://www.neonscience.org/data-collection/surface-water"" target=""_blank"">Read More: Surface Water</a>"
X,IR biological temperature,"<a href=""https://data.neonscience.org/data-products/DP1.00005.001"" target=""_blank"">DP1.00005.001</a>; <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,relative humidity,"<a href=""https://data.neonscience.org/data-products/DP1.20271.001"" target=""_blank"">DP1.20271.001</a> (above water surface); <a href=""https://data.neonscience.org/data-products/DP1.00098.001"" target=""_blank"">DP1.00098.001</a> (terrestrial); <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,barometric pressure,"<a href=""https://data.neonscience.org/data-products/DP1.00004.001"" target=""_blank"">DP1.00004.001</a> (terrestrial); <a href=""https://data.neonscience.org/data-products/DP1.20004.001"" target=""_blank"">DP1.20004.001</a> (above water surface); <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,wind speed and direction,"<a href=""https://data.neonscience.org/data-products/DP1.00001.001"" target=""_blank"">DP1.00001.001</a> (terrestrial); <a href=""https://data.neonscience.org/data-products/DP1.20059.001"" target=""_blank"">DP1.20059.001</a> (above water surface); <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,solar radiation,"<a href=""https://data.neonscience.org/data-products/DP1.20261.001"" target=""_blank"">DP1.20261.001</a> (below water surface); <a href=""https://data.neonscience.org/data-products/DP1.20032.001"" target=""_blank"">DP1.20032.001</a> (above water surface); <a href=""https://data.neonscience.org/data-products/DP1.00023.001"" target=""_blank"">DP1.00023.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.00014.001"" target=""_blank"">DP1.00014.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.00022.001"" target=""_blank"">DP1.00022.001</a>; <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,photosynthetically active radiation,"<a href=""https://data.neonscience.org/data-products/DP1.20261.001"" target=""_blank"">DP1.20261.001</a> (below water surface); <a href=""https://data.neonscience.org/data-products/DP1.20042.001"" target=""_blank"">DP1.20042.001</a> (at water surface); <a href=""https://data.neonscience.org/data-products/DP1.00024.001"" target=""_blank"">DP1.00024.001</a> (terrestrial); <a href=""https://data.neonscience.org/data-products/DP1.00066.001"" target=""_blank"">DP1.00066.001</a> (quantum line); <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,air CO2 and H2O concentration,"<a href=""https://data.neonscience.org/data-products/DP4.00200.001"" target=""_blank"">DP4.00200.001</a> (eddy covariance); <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,rain water chemical ion concentrations,"<a href=""https://data.neonscience.org/data-products/DP1.00013.001"" target=""_blank"">DP1.00013.001</a>; sulfate (SO4 2-); nitrate (NO3-); chloride (Cl-); bromide (Br-); ammonium (NH4+); phosphate (PO4 3-); calcium (Ca2+); magnesium (Mg2+); potassium (K+); sodium (Na+); and pH/Conductivity in precipitation water; <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,atmospheric dust,"<a href=""https://data.neonscience.org/data-products/DP1.00017.001"" target=""_blank"">DP1.00017.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.00101.001"" target=""_blank"">DP1.00101.001</a>; <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,calibrated sky radiances,"<a href=""https://data.neonscience.org/data-products/DP1.00043.001"" target=""_blank"">DP1.00043.001</a>; <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,rain water isotope composition,"<a href=""https://data.neonscience.org/data-products/DP1.00038.001"" target=""_blank"">DP1.00038.001</a>; 18O and 2H in precipitation water; <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,the weather,"<a href=""https://data.neonscience.org/data-products/DP4.00001.001"" target=""_blank"">DP4.00001.001</a>; <a href=""https://www.neonscience.org/data-collection/meteorology"" target=""_blank"">Read More: Meteorology</a>"
X,soil CO2 concentration,"<a href=""https://data.neonscience.org/data-products/DP1.00095.001"" target=""_blank"">DP1.00095.001</a>; <a href=""https://www.neonscience.org/data-collection/soil-sensors"" target=""_blank"">Read More: Soil Sensors</a>"
X,soil temperature,"<a href=""https://data.neonscience.org/data-products/DP1.00041.001"" target=""_blank"">DP1.00041.001</a>; <a href=""https://www.neonscience.org/data-collection/soil-sensors"" target=""_blank"">Read More: Soil Sensors</a>"
X,soil moisture,"<a href=""https://data.neonscience.org/data-products/DP1.00094.001"" target=""_blank"">DP1.00094.001</a>; <a href=""https://www.neonscience.org/data-collection/soil-sensors"" target=""_blank"">Read More: Soil Sensors</a>"
X,soil heat flux,"<a href=""https://data.neonscience.org/data-products/DP1.00040.001"" target=""_blank"">DP1.00040.001</a>; <a href=""https://www.neonscience.org/data-collection/soil-sensors"" target=""_blank"">Read More: Soil Sensors</a>"
X,water flow,"<a href=""https://data.neonscience.org/data-products/DP4.00130.001"" target=""_blank"">DP4.00130.001</a>; <a href=""https://data.neonscience.org/data-products/DP4.00133.001"" target=""_blank"">DP4.00133.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20193.001"" target=""_blank"">DP1.20193.001</a>; <a href=""https://www.neonscience.org/data-collection/surface-water"" target=""_blank"">Read More: Surface Water</a>; <a href=""https://www.neonscience.org/data-collection/hydrology-geomorphology"" target=""_blank"">Read More: Hydrology Geomorphology</a>"
X,water quality,"<a href=""https://data.neonscience.org/data-products/DP1.20288.001"" target=""_blank"">DP1.20288.001</a> (specific conductivity; concentration of chlorophyll a; dissolved oxygen content; fDOM concentration; pH; and turbidity); <a href=""https://www.neonscience.org/data-collection/surface-water"" target=""_blank"">Read More: Surface Water</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,water chemicals composition,"<a href=""https://data.neonscience.org/data-products/DP1.20093.001"" target=""_blank"">DP1.20093.001</a> (general chemistry; anions; cations; and nutrients); <a href=""https://www.neonscience.org/data-collection/surface-water"" target=""_blank"">Read More: Surface Water</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,water nitrate levels,"<a href=""https://data.neonscience.org/data-products/DP1.20033.001"" target=""_blank"">DP1.20033.001</a>; <a href=""https://www.neonscience.org/data-collection/surface-water"" target=""_blank"">Read More: Surface Water</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,water dissolved gases composition,"<a href=""https://data.neonscience.org/data-products/DP1.20097.001"" target=""_blank"">DP1.20097.001</a> (carbon dioxide; methane; and nitrous oxide); <a href=""https://www.neonscience.org/data-collection/surface-water"" target=""_blank"">Read More: Surface Water</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,water isotope composition,"<a href=""https://data.neonscience.org/data-products/DP1.20206.001"" target=""_blank"">DP1.20206.001</a> (18O/12O and 2H/1H water isotope ratios); <a href=""https://www.neonscience.org/data-collection/surface-water"" target=""_blank"">Read More: Surface Water</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,groundwater temperature,"<a href=""https://data.neonscience.org/data-products/DP1.20217.001"" target=""_blank"">DP1.20217.001</a>; <a href=""https://www.neonscience.org/data-collection/groundwater"" target=""_blank"">Read More: Groundwater</a>"
X,groundwater elevation,"<a href=""https://data.neonscience.org/data-products/DP1.20100.001"" target=""_blank"">DP1.20100.001</a>; <a href=""https://www.neonscience.org/data-collection/groundwater"" target=""_blank"">Read More: Groundwater</a>"
X,groundwater conductivity,"<a href=""https://data.neonscience.org/data-products/DP1.20015.001"" target=""_blank"">DP1.20015.001</a>; <a href=""https://www.neonscience.org/data-collection/groundwater"" target=""_blank"">Read More: Groundwater</a>"
X,groundwater chemicals,"<a href=""https://data.neonscience.org/data-products/DP1.20092.001"" target=""_blank"">DP1.20092.001</a> (alkalinity and acid neutralizing capacity; dissolved and total nutrients and carbon; cations and anions; and general chemistry); <a href=""https://www.neonscience.org/data-collection/groundwater"" target=""_blank"">Read More: Groundwater</a>"
X,groundwater isotopes,"<a href=""https://data.neonscience.org/data-products/DP1.20276.001"" target=""_blank"">DP1.20276.001</a> (18O/16O and 2H/1H water isotope ratios); <a href=""https://www.neonscience.org/data-collection/groundwater"" target=""_blank"">Read More: Groundwater</a>"
X,soil physical properties,"<a href=""https://data.neonscience.org/data-products/DP1.10086.001"" target=""_blank"">DP1.10086.001</a> (measurements of pH; moisture; chemistry; and stable isotopes); <a href=""https://www.neonscience.org/data-collection/soil-microbes"" target=""_blank"">Read More: Soil Microbes</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,soil isotopes,"<a href=""https://data.neonscience.org/data-products/DP1.10100.001"" target=""_blank"">DP1.10100.001</a>; <a href=""https://www.neonscience.org/data-collection/soil-microbes"" target=""_blank"">Read More: Soil Microbes</a>"
X,soil nitrogen levels,"<a href=""https://data.neonscience.org/data-products/DP1.10080.001"" target=""_blank"">DP1.10080.001</a>; <a href=""https://www.neonscience.org/data-collection/soil-microbes"" target=""_blank"">Read More: Soil Microbes</a>"
X,soil chemical properties,"<a href=""https://data.neonscience.org/data-products/DP1.10086.001"" target=""_blank"">DP1.10086.001</a> (Carbon and nitrogen concentrations); <a href=""https://www.neonscience.org/data-collection/soil-microbes"" target=""_blank"">Read More: Soil Microbes</a>"
X,downed wood (logs) levels,"<a href=""https://data.neonscience.org/data-products/DP1.10014.001"" target=""_blank"">DP1.10014.001</a> (logs); <a href=""https://data.neonscience.org/data-products/DP1.10010.001"" target=""_blank"">DP1.10010.001</a> (logs); <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>"
X,litterfall,"<a href=""https://data.neonscience.org/data-products/DP1.10033.001"" target=""_blank"">DP1.10033.001</a>; <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,aquatic sediment properties,"<a href=""https://data.neonscience.org/data-products/DP1.20194.001"" target=""_blank"">DP1.20194.001</a> (nutrients; carbon; heavy metals; sediment size and texture); <a href=""https://www.neonscience.org/data-collection/sediments"" target=""_blank"">Read More: Sediments</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
X,stream morphology,"<a href=""https://data.neonscience.org/data-products/DP4.00131.001"" target=""_blank"">DP4.00131.001</a> (map); <a href=""https://data.neonscience.org/data-products/DP1.20254.001"" target=""_blank"">DP1.20254.001</a> (depth); <a href=""https://www.neonscience.org/data-collection/sediments"" target=""_blank"">Read More: Sediments</a>"
X,bathymetry morphology,"<a href=""https://data.neonscience.org/data-products/DP4.00132.001"" target=""_blank"">DP4.00132.001</a> (map); <a href=""https://www.neonscience.org/data-collection/sediments"" target=""_blank"">Read More: Sediments</a>"
X,non woody plant biomass,"<a href=""https://data.neonscience.org/data-products/DP1.10023.001"" target=""_blank"">DP1.10023.001</a>; <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>"
X,plant cover,"<a href=""https://data.neonscience.org/data-products/DP1.10058.001"" target=""_blank"">DP1.10058.001</a>; <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>"
X,below ground biomass (roots),"<a href=""https://data.neonscience.org/data-products/DP1.10066.001"" target=""_blank"">DP1.10066.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.10067.001"" target=""_blank"">DP1.10067.001</a>; <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>"
X,the interaction between [X] and [X],
Y,[A] communities,
Y,[A] diversity/species richness,
Y,[A] community change (local colonization/extinction),
Y,[A] genetic diversity,
Y,[A] populations,
Y,[A] population change (growth/extinction),
Y,[A] range change rate,
Y,[A] ranges,
Y,[A] occupancy/detection,"<a href=""https://doi.org/10.1111/2041-210X.14285"" target=""_blank"">Occupancy Modelling</a>"
Y,[A] fecundity,
Y,[A] population density,
Y,[A] species composition,
Y,plant phenology,"<a href=""https://data.neonscience.org/data-products/DP1.10055.001"" target=""_blank"">DP1.10055.001</a>; <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>"
Y,[A] abundance,
Y,[B] [X],
Y,[X],
Y,[A] traits,size; color; shape
Y,[A] species identification,
Y,[Y] [C],
A,bird,"<a href=""https://data.neonscience.org/data-products/DP1.10003.001"" target=""_blank"">DP1.10003.001</a>; <a href=""https://www.neonscience.org/data-collection/birds"" target=""_blank"">Read More: Birds</a>"
A,small mammal,"<a href=""https://data.neonscience.org/data-products/DP1.10072.001"" target=""_blank"">DP1.10072.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.10076.001"" target=""_blank"">DP1.10076.001</a> (COI); <a href=""https://www.neonscience.org/data-collection/small-mammals"" target=""_blank"">Read More: Small Mammals</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,mosquito,"<a href=""https://data.neonscience.org/data-products/DP1.10043.001"" target=""_blank"">DP1.10043.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.10038.001"" target=""_blank"">DP1.10038.001</a> (COI); <a href=""https://www.neonscience.org/data-collection/mosquitoes"" target=""_blank"">Read More: Mosquitoes</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,beetle,"<a href=""https://data.neonscience.org/data-products/DP1.10022.001"" target=""_blank"">DP1.10022.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.10020.001"" target=""_blank"">DP1.10020.001</a> (COI); <a href=""https://www.neonscience.org/data-collection/ground-beetles"" target=""_blank"">Read More: Ground Beetles</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,fish,"<a href=""https://data.neonscience.org/data-products/DP1.20107.001"" target=""_blank"">DP1.20107.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20105.001"" target=""_blank"">DP1.20105.001</a>; <a href=""https://www.neonscience.org/data-collection/fish"" target=""_blank"">Read More: Fish</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,tick,"<a href=""https://data.neonscience.org/data-products/DP1.10093.001"" target=""_blank"">DP1.10093.001</a>; <a href=""https://www.neonscience.org/data-collection/ticks"" target=""_blank"">Read More: Ticks</a>"
A,terrestrial plant,"<a href=""https://data.neonscience.org/data-products/DP1.10014.001"" target=""_blank"">DP1.10014.001</a> (logs); <a href=""https://data.neonscience.org/data-products/DP1.10010.001"" target=""_blank"">DP1.10010.001</a> (logs); <a href=""https://data.neonscience.org/data-products/DP1.10023.001"" target=""_blank"">DP1.10023.001</a> (non woody plants); <a href=""https://data.neonscience.org/data-products/DP1.10033.001"" target=""_blank"">DP1.10033.001</a> (litterfall); <a href=""https://data.neonscience.org/data-products/DP1.10045.001"" target=""_blank"">DP1.10045.001</a> (cactus; fern; palms); <a href=""https://data.neonscience.org/data-products/DP1.10058.001"" target=""_blank"">DP1.10058.001</a> (plant cover); <a href=""https://data.neonscience.org/data-products/DP1.10066.001"" target=""_blank"">DP1.10066.001</a> (root biomass and chemistry); <a href=""https://data.neonscience.org/data-products/DP1.10067.001"" target=""_blank"">DP1.10067.001</a> (root biomass and chemistry); <a href=""https://data.neonscience.org/data-products/DP1.10096.001"" target=""_blank"">DP1.10096.001</a> (woody plants); <a href=""https://data.neonscience.org/data-products/DP1.20275.001"" target=""_blank"">DP1.20275.001</a> (riverbank assessment); <a href=""https://data.neonscience.org/data-products/DP1.20191.001"" target=""_blank"">DP1.20191.001</a> (riverbank); <a href=""https://data.neonscience.org/data-products/DP1.10026.001"" target=""_blank"">DP1.10026.001</a> (leaf composition); <a href=""https://www.neonscience.org/data-collection/terrestrial-plants"" target=""_blank"">Read More: Terrestrial Plants</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
A,native species,
A,invasive species,
A,pathogen,"<a href=""https://data.neonscience.org/data-products/DP1.10064.001"" target=""_blank"">DP1.10064.001</a> (rodent hantavirus); <a href=""https://data.neonscience.org/data-products/DP1.10064.002"" target=""_blank"">DP1.10064.002</a> (rodent tick-borne); <a href=""https://data.neonscience.org/data-products/DP1.10041.001"" target=""_blank"">DP1.10041.001</a> (mosquitoes); <a href=""https://data.neonscience.org/data-products/DP1.10092.001"" target=""_blank"">DP1.10092.001</a> (ticks); <a href=""https://www.neonscience.org/data-collection/pathogens"" target=""_blank"">Read More: Pathogens</a>"
A,aquatic algae/bacteria/plankton,"<a href=""https://data.neonscience.org/data-products/DP1.20166.001"" target=""_blank"">DP1.20166.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20163.001"" target=""_blank"">DP1.20163.001</a> (chemical properties); <a href=""https://www.neonscience.org/data-collection/algae-aquatic-plants"" target=""_blank"">Read More: Algae Aquatic Plants</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
A,aquatic plant,"<a href=""https://data.neonscience.org/data-products/DP1.20072.001"" target=""_blank"">DP1.20072.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20066.001"" target=""_blank"">DP1.20066.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20063.001"" target=""_blank"">DP1.20063.001</a> (chemical properties); <a href=""https://www.neonscience.org/data-collection/algae-aquatic-plants"" target=""_blank"">Read More: Algae Aquatic Plants</a>; <a href=""https://www.neonscience.org/data-collection/biogeochemistry"" target=""_blank"">Read More: Biogeochemistry</a>"
A,soil microbe,"<a href=""https://data.neonscience.org/data-products/DP1.10104.001"" target=""_blank"">DP1.10104.001</a> (biomass); <a href=""https://data.neonscience.org/data-products/DP1.10108.001"" target=""_blank"">DP1.10108.001</a> (COI); <a href=""https://data.neonscience.org/data-products/DP1.10081.001"" target=""_blank"">DP1.10081.001</a> (community composition); <a href=""https://data.neonscience.org/data-products/DP1.10107.001"" target=""_blank"">DP1.10107.001</a> (metagenome); <a href=""https://www.neonscience.org/data-collection/soil-microbes"" target=""_blank"">Read More: Soil Microbes</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,surface water microbe,"<a href=""https://data.neonscience.org/data-products/DP1.20138.001"" target=""_blank"">DP1.20138.001</a> (cell count); <a href=""https://data.neonscience.org/data-products/DP1.20282.001"" target=""_blank"">DP1.20282.001</a> (marker gene sequences); <a href=""https://data.neonscience.org/data-products/DP1.20281.001"" target=""_blank"">DP1.20281.001</a> (metagenome); <a href=""https://data.neonscience.org/data-products/DP1.20278.001"" target=""_blank"">DP1.20278.001</a> (group abundances); <a href=""https://data.neonscience.org/data-products/DP1.20141.001"" target=""_blank"">DP1.20141.001</a> (community composition); <a href=""https://www.neonscience.org/data-collection/aquatic-microbes"" target=""_blank"">Read More: Aquatic Microbes</a>; <a href=""https://www.neonscience.org/data-collection/surface-water"" target=""_blank"">Read More: Surface Water</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,benthic microbes,"<a href=""https://data.neonscience.org/data-products/DP1.20086.001"" target=""_blank"">DP1.20086.001</a> (community composition); <a href=""https://data.neonscience.org/data-products/DP1.20277.001"" target=""_blank"">DP1.20277.001</a> (abundance); <a href=""https://data.neonscience.org/data-products/DP1.20280.001"" target=""_blank"">DP1.20280.001</a> (gene sequences); <a href=""https://data.neonscience.org/data-products/DP1.20279.001"" target=""_blank"">DP1.20279.001</a> (metagenome); <a href=""https://www.neonscience.org/data-collection/aquatic-microbes"" target=""_blank"">Read More: Aquatic Microbes</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,benthic macrointertebrate,"<a href=""https://data.neonscience.org/data-products/DP1.20120.001"" target=""_blank"">DP1.20120.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20126.001"" target=""_blank"">DP1.20126.001</a> (metabarcoding); <a href=""https://www.neonscience.org/data-collection/macroinvertebrates-zooplankton"" target=""_blank"">Read More: Macroinvertebrates Zooplankton</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
A,zooplankton,"<a href=""https://data.neonscience.org/data-products/DP1.20219.001"" target=""_blank"">DP1.20219.001</a>; <a href=""https://data.neonscience.org/data-products/DP1.20221.001"" target=""_blank"">DP1.20221.001</a> (metabarcoding); <a href=""https://www.neonscience.org/data-collection/macroinvertebrates-zooplankton"" target=""_blank"">Read More: Macroinvertebrates Zooplankton</a>; <a href=""https://www.neonscience.org/data-samples/data-collection/observational-sampling/observation-types/dna-sequences"" target=""_blank"">Read More: DNA Sequences</a>"
B,changes in ,
C,between NEON sites,
C,between NEON domains,
C,over time,
C,within NEON sites,
C,within NEON domains,
